idQ;body;persoBody;field;textArea;answer;;;;;answer;;;;;answer;;;;;answer;;;;;answer;;;;
;;;;;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail;idQ;body;breakPoint;reaction;detail
23;Est-ce que tu viens de la région ?;;newCity;FAUX;30;Oui;FAUX;Super, t'es déjà habitué à la ville alors. Je suppose que tu connais quelques personnes qui font la même licence que toi 🤔;0;24;Non;FAUX;J'espère que tu vas rapidement t'habituer dans cette nouvelle ville. Je suppose que tu connais pas beaucoup de personnes qui font la même licence que toi, je me trompe ?🤔;1;;;;;;;;;;;;;;;
24;Est-ce que tu es un étudiant étranger ?;;foreigner;FAUX;26;Non;FAUX;;0;25;Oui;FAUX;;1;;;;;;;;;;;;;;;
25;Quel est ton degré de maîtrise du français ?🇫🇷;;frenchLevel;FAUX;26;1;FAUX;;1;26;2;FAUX;;2;26;3;FAUX;;3;26;4;FAUX;;4;26;5;FAUX;;5
26;A quelle fréquence tu rentres chez toi ?;;backHomeFrequency;FAUX;27;Jamais c'est trop compliqué;FAUX;;0;27;Rarement;FAUX;;1;27;De temps en temps;FAUX;;;0;Souvent;FAUX;;;;;;;
27;Est-ce que ça te manque ?;;missingHome;FAUX;30;Oui beaucoup !;FAUX;;0;30;Un peu mais ça va;FAUX;;1;30;Pas du tout !;FAUX;;2;;;;;;;;;;
28;Sur une échelle de 1 à 5, à quel point tu te sens intégré ici ?😊 (5 étant très bien intégré);;integration;FAUX;23;1;FAUX;Ne t'inquiète pas, il y a des personnes qui sont là pour toi ! Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !🤝;1;23;2;FAUX;Ne t'inquiète pas, il y a des personnes qui sont là pour toi ! Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !🤝;2;23;3;FAUX;D'accord, donc pas tant que ça...Il y a des personnes qui sont là pour toi si tu as besoin. Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !🤝;3;23;4;FAUX;Ok super !;4;23;5;FAUX;Ok génial !;5
29;Tu peux me raconter un peu ton projet d'avenir dans ce cas là ?🙂;;futur;VRAI;0;;FAUX;Merci pour ta réponse !😘 Bon allez je change de sujet :;;;;;;;;;;;;;;;;;;;;;
30;Tu peux me dire combien de personnes tu connais dans cette licence ?;;knownPerson;FAUX;31;Aucune;VRAI;Ok, j'espère que tu ne seras pas perdu ici. Mais tu verras tout le monde est sympa, tu vas vite t'y faire !;0;31;Moins de 2;VRAI;Ok, j'espère que tu ne seras pas perdu ici. Mais tu verras tout le monde est sympa, tu vas vite t'y faire !😘;1;32;Plus de 3;FAUX;Super, tu ne seras pas perdu ici !🙂;2;32;Plus de 10;FAUX;Whoa ! Tu connais déjà plein de monde !😲;3;;;;;
31;;La dernière fois tu m'avais dit que tu connaissais/personnes, tu t'es fait de nouvelles connaissance ?🙄;newFriend;FAUX;32;Oui;FAUX;Super, je suis soulagé !😅;oui;31;Non;VRAI;D'accord...Si tu te sens mal entouré, tu peux demander de l'aide tu sais !🤝;non;;;;;;;;;;;;;;;
32;Tu trouves que tu as un assez bon entourage et des amis assez proches de toi ?🙂;;friendsOk;FAUX;0;Oui;FAUX;Ok génial, ça va t'aider tout le long de ta licence, n'oublie pas !;oui;33;Non;VRAI;Mince...Avoir un bon entourage est hyper important en licence...;non;;;;;;;;;;;;;;;
33;La dernière fois tu trouvais que tu n'avais pas un entourage assez proche de toi, il y a eu des changements depuis la dernière fois ?🙂;;;FAUX;32;Oui;VRAI;Ouf, ça me rassure;;33;Non;VRAI;D'accord...Si tu te sens mal entouré, tu peux demander de l'aide tu sais !🤝;;;;;;;;;;;;;;;;
34;J'enchaîne avec des questions sur ton style de vie ! Actuellement tu vis comment ?🙂;;house;FAUX;35;Seul;FAUX;;0;41;En colocation;FAUX;Super !;1;36;Avec mes parents;FAUX;;2;;;;;;;;;;
35;C'est un choix ? Tu le vis bien ?🤔;;houseOk;FAUX;39;Oui;FAUX;Ok super alors, c'est un choix comme un autre !;oui;40;Non;FAUX;T'as eu des problèmes d'hébergement ?🤔;non;;;;;;;;;;;;;;;
36;Ça se passe bien à la maison ?;;parentsOk;FAUX;39;Oui super !;FAUX;Génial !;0;37;Bof...;FAUX;Hum...;1;37;Non pas du tout;FAUX;Hum...;2;;;;;;;;;;
37;Dis moi ce qui ne va pas !;;whyNotParentsOk;VRAI;38;;FAUX;;;;;;;;;;;;;;;;;;;;;;
38;Tu penses que tu aurais besoin de changer de lieu de vie ?;;changeHome;FAUX;39;Oui;FAUX;Dans ce cas là je te conseille d'appeller le crous de Paris, ils peuvent peut-être t'aider : 01 40 51 62 00 !;oui;39;Non;FAUX;Si jamais ça va pas, je te conseille d'appeller le crous de Paris, ils peuvent peut-être t'aider : 01 40 51 62 00 !;non;;;;;;;;;;;;;;;
39;T'habites à combien de temps de l'université ?;;timeToFac;FAUX;42;Moins de 10 minutes;FAUX;T'es juste à côté super !🙂;0;42;Environ 30 minutes;FAUX;Ça va te faire gagner du temps c'est cool !🙂;1;43;Environ 1h ou plus;FAUX;Oh, t'habites vraiment loin !🙄;2;;;;;;;;;;
40;Si oui, dis moi ce qui t'as posé soucis !😉;;whyNotHouseOk;VRAI;39;;FAUX;C'est noté;;;;;;;;;;;;;;;;;;;;;
41;T'es avec combien de colocataires ?;;nbRoomMates;FAUX;39;1;FAUX;;1;39;2;FAUX;;2;39;3;FAUX;;3;39;Au moins 4;FAUX;;Au moins 4;;;;;
42;En moyenne tu passes combien de temps avec tes potes les soirs de semaine ?😊;;timeWithFriend;FAUX;44;Aucun ou presque pas;FAUX;;0;44;Une demi heure environ;FAUX;;1;44;Plus d'une heure;FAUX;;2;;;;;;;;;;
43;Tu penses que tu vas supporter le rythme et ne pas trop être fatigué ?🙂;;timetoFacToLong;FAUX;42;Ça ira je suis habitué;FAUX;Ok je suis rassuré 🙂;0;42;J'appréhende un peu;FAUX;Hum...J'espère que tu vas t'y faire...;1;42;Non ça va être dur...;FAUX;Si tu n'arrives pas à suivre les cours à cause de ça, parles en ! Il y a des enseignants référent qui peuvent t'aider 🤝;2;;;;;;;;;;
44;Et tes activités extrascolaires, t'y consacres combien de temps chaque soir  en moyenne?🎓;;timeWithExtra;FAUX;45;Aucun ou presque pas;FAUX;;0;45;Une demi heure environ;FAUX;;1;45;Plus d'une heure;FAUX;;2;;;;;;;;;;
45;Compte tenu de tout ça, le temps de trajet, le temps passé avec les amis et pour tes activités extrascolaire, tu as combien de temps en moyenne pour bosser les cours le soir ?🤔;;timeWork;FAUX;46;Aucun ou presque pas;FAUX;;0;46;environ une 1/2 heure;FAUX;;1;46;Plus d'1 heure;FAUX;;2;46;Plus de 2 heures;FAUX;;3;;;;;
46;T'arrives à bien gérer ton temps ?😊;;manageTime;FAUX;0;Je suis débordé;FAUX;Je comprend, je suis débordé moi aussi avec toutes ces discussions, il faudra que tu fasses des choix ou que tu t'organises mieux !;0;0;Facilement;FAUX;T'es trop fort 😙;1;0;Oui mais difficilement;FAUX;Ok c'est déjà ça ! J'espère que t'arriveras toujours à t'organiser pour tout concillier !;2;;;;;;;;;;
47;Qu'est-ce que tu penses de ton rythme de sommeil ?;;sleep;FAUX;0;Je dors suffisamment bien;FAUX;;0;0;Je dors peu mais ça va;FAUX;;1;0;Je dors clairement pas assez;FAUX;;2;;;;;;;;;;
48;Bon je change de sujet, est-ce que tu as un handicap qui rend tes études plus compliquées ?🙂;;disabled;FAUX;74;Non;FAUX;D'accord c'est noté;non;49;Oui;FAUX;;oui;;;;;;;;;;;;;;;
49;Tu peux me détailler un peu ton handicap du coup ?😊;;disease;VRAI;74;;FAUX;Merci, j'ai pris ta réponse en compte !🙂;;;;;;;;;;;;;;;;;;;;;
50;D'ailleurs j'ai remarqué que tu venais souvent me parler, qu'est ce qui te plaît dans nos conversations ?😍;;whyDiscuss;VRAI;51;;FAUX;;;;;;;;;;;;;;;;;;;;;;
51;Tu sais je suis là pour t'aider à réussir mais aussi à détecter quand tu as besoin d'aide : t'avais bien compris que je servais à ça ?🤔;;whyChatbot;FAUX;53;Oui;FAUX;Parfait ! Je vois qu'on se comprend bien tous les deux 😘;oui;52;Non;FAUX;;non;;;;;;;;;;;;;;;
52;Dans ce cas là dis moi comment tu me voyais, à quoi tu pensais que je servais ?;;whyChatbotArea;VRAI;53;;FAUX;;;;;;;;;;;;;;;;;;;;;;
53;Tu trouves que je fais bien mon travail ?😇;;ChatbotWorks;FAUX;0;Trop !;FAUX;Merci ❤️;0;0;Assez bien oui;FAUX;Merci ❤️;1;54;Pas trop;FAUX;Bon, j'essayerais de m'améliorer, c'est promis 😙;2;54;Pas du tout...;FAUX;Bon, j'essayerais de m'améliorer, c'est promis 😙;3;;;;;
54;Qu'est ce que tu n'aimes pas chez moi ?;;whyNotChatbotWorks;VRAI;0;;FAUX;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Allez on a bientôt fini, parlons un peu travail !😊Quel type de cours tu préfères ?;;favoriteType;FAUX;58;Cours magistraux;FAUX;;0;58;TD;FAUX;;1;58;TP;FAUX;;2;58;Pas de préférence;FAUX;;3;;;;;
58;À quelle fréquence tu vas en TD ?👨‍🎓;;presenceTD;FAUX;59;Jamais;FAUX;Hmm..🙄;0;59;De temps en temps;FAUX;;1;60;Souvent;VRAI;Nice !😍;2;0;Toujours !;VRAI;Nice !😍;3;;;;;
